#Parameters = {L2=0.5; R=4; b=3; cond_ss=1450000; cpw=14; sigma_z=0.02; wakelength=100; wakelength0=1}
#"s / cm"	"Z [Real Part]"
#------------------------
-0.17097842068731	-6.4349589849103e-12
-0.17014845454594	-7.7559187536622e-12
-0.16931848840457	-9.3424570545596e-12
-0.16848852226320	-1.1246805750398e-11
-0.16765855612183	-1.3531231832927e-11
-0.16682858998046	-1.6269917929114e-11
-0.16599862383908	-1.9551185854044e-11
-0.16516865769771	-2.3480124019869e-11
-0.16433869155634	-2.8181689931437e-11
-0.16350872541497	-3.3804371333824e-11
-0.16267875927360	-4.0524503359490e-11
-0.16184879313223	-4.8551356032550e-11
-0.16101882699085	-5.8133125271350e-11
-0.16018886084948	-6.9563982800196e-11
-0.15935889470811	-8.3192366994947e-11
-0.15852892856674	-9.9430725684120e-11
-0.15769896242537	-1.1876695761331e-10
-0.15686899628400	-1.4177783918506e-10
-0.15603903014262	-1.6914477129349e-10
-0.15520906400125	-2.0167223235264e-10
-0.15437909785988	-2.4030938852790e-10
-0.15354913171851	-2.8617538316721e-10
-0.15271916557714	-3.4058891231924e-10
-0.15188919943577	-4.0510278508982e-10
-0.15105923329439	-4.8154428372308e-10
-0.15022926715302	-5.7206226291387e-10
-0.14939930101165	-6.7918207444074e-10
-0.14856933487028	-8.0586956968145e-10
-0.14773936872891	-9.5560563268291e-10
-0.14690940258754	-1.1324729073019e-09
-0.14607943644617	-1.3412566465916e-09
-0.14524947030479	-1.5875618974415e-09
-0.14441950416342	-1.8779495622538e-09
-0.14358953802205	-2.2200942698494e-09
-0.14275957188068	-2.6229674243887e-09
-0.14192960573931	-3.0970492782014e-09
-0.14109963959794	-3.6545744561181e-09
-0.14026967345656	-4.3098160158224e-09
-0.13943970731519	-5.0794138251518e-09
-0.13860974117382	-5.9827538907476e-09
-0.13777977503245	-7.0424062429973e-09
-0.13694980889108	-8.2846300098132e-09
-0.13611984274971	-9.7399555723034e-09
-0.13528987660833	-1.1443855016693e-08
-0.13445991046696	-1.3437513750908e-08
-0.13362994432559	-1.5768717797422e-08
-0.13279997818422	-1.8492873376254e-08
-0.13197001204285	-2.1674177544832e-08
-0.13114004590148	-2.5386961371051e-08
-0.13031007976010	-2.9717229607321e-08
-0.12948011361873	-3.4764424499373e-08
-0.12865014747736	-4.0643444679839e-08
-0.12782018133599	-4.7486954053447e-08
-0.12699021519462	-5.5448020023354e-08
-0.12616024905325	-6.4703126182040e-08
-0.12533028291188	-7.5455609374387e-08
-0.12450031677050	-8.7939577293604e-08
-0.12367035062913	-1.0242437076400e-07
-0.12284038448776	-1.1921964219845e-07
-0.12201041834639	-1.3868113039125e-07
-0.12118045220502	-1.6121721972876e-07
-0.12035048606365	-1.8729638685398e-07
-0.11952051992227	-2.1745564517934e-07
-0.11869055378090	-2.5231011256425e-07
-0.11786058763953	-2.9256384252566e-07
-0.11703062149816	-3.3902207542193e-07
-0.11620065535679	-3.9260507975902e-07
-0.11537068921542	-4.5436377877461e-07
-0.11454072307404	-5.2549737428286e-07
-0.11371075693267	-6.0737320129039e-07
-0.11288079079130	-7.0154907839446e-07
-0.11205082464993	-8.0979843892274e-07
-0.11122085850856	-9.3413856344810e-07
-0.11039089236719	-1.0768622575344e-06
-0.10956092622581	-1.2405733625195e-06
-0.10873096008444	-1.4282265163763e-06
-0.10790099394307	-1.6431716299359e-06
-0.10707102780170	-1.8892035731966e-06
-0.10624106166033	-2.1706176255881e-06
-0.10541109551896	-2.4922712876568e-06
-0.10458112937758	-2.8596531010310e-06
-0.10375116323621	-3.2789591663688e-06
-0.10292119709484	-3.7571781198235e-06
-0.10209123095347	-4.3021853933552e-06
-0.10126126481210	-4.9228476019731e-06
-0.10043129867073	-5.6291380355762e-06
-0.099601332529355	-6.4322642308918e-06
-0.098771366387983	-7.3448086749790e-06
-0.097941400246612	-8.3808838112399e-06
-0.097111434105240	-9.5563025209935e-06
-0.096281467963869	-1.0888765294285e-05
-0.095451501822497	-1.2398065443761e-05
-0.094621535681125	-1.4106313770547e-05
-0.093791569539754	-1.6038183952080e-05
-0.092961603398382	-1.8221180244303e-05
-0.092131637257011	-2.0685928952053e-05
-0.091301671115639	-2.3466495151035e-05
-0.090471704974267	-2.6600726192706e-05
-0.089641738832896	-3.0130623659638e-05
-0.088811772691524	-3.4102744962439e-05
-0.087981806550152	-3.8568636268667e-05
-0.087151840408781	-4.3585298076795e-05
-0.086321874267409	-4.9215684614496e-05
-0.085491908126038	-5.5529238066326e-05
-0.084661941984666	-6.2602458986973e-05
-0.083831975843294	-7.0519513427671e-05
-0.083002009701923	-7.9372877208371e-05
-0.082172043560551	-8.9264017643114e-05
-0.081342077419180	-0.00010030411244927
-0.080512111277808	-0.00011261480559378
-0.079682145136436	-0.00012632899878564
-0.078852178995065	-0.00014159167702264
-0.078022212853693	-0.00015856076596441
-0.077192246712322	-0.00017740801836501
