#
#"s / mm"	"Z [Real Part]"
#------------------------
-1.7097842068731	-7.0343981648999e-12
-1.7033845087084	-8.1148579545989e-12
-1.6969848105437	-9.3579877879130e-12
-1.6905851123789	-1.0787766237497e-11
-1.6841854142142	-1.2431627976698e-11
-1.6777857160495	-1.4320950113375e-11
-1.6713860178848	-1.6491605227897e-11
-1.6649863197200	-1.8984589970851e-11
-1.6585866215553	-2.1846739294087e-11
-1.6521869233906	-2.5131537760800e-11
-1.6457872252258	-2.8900040549655e-11
-1.6393875270611	-3.3221918670191e-11
-1.6329878288964	-3.8176644766377e-11
-1.6265881307317	-4.3854837759949e-11
-1.6201884325669	-5.0359786915530e-11
-1.6137887344022	-5.7809178656019e-11
-1.6073890362375	-6.6337052442959e-11
-1.6009893380727	-7.6096015050489e-11
-1.5945896399080	-8.7259746224814e-11
-1.5881899417433	-1.0002583313540e-10
-1.5817902435786	-1.1461897549008e-10
-1.5753905454138	-1.3129460842685e-10
-1.5689908472491	-1.5034299552729e-10
-1.5625911490844	-1.7209385107605e-10
-1.5561914509196	-1.9692155867516e-10
-1.5497917527549	-2.2525105969015e-10
-1.5433920545902	-2.5756449512082e-10
-1.5369923564255	-2.9440869490884e-10
-1.5305926582607	-3.3640361768113e-10
-1.5241929600960	-3.8425185918559e-10
-1.5177932619313	-4.3874936053202e-10
-1.5113935637665	-5.0079746002891e-10
-1.5049938656018	-5.7141645471258e-10
-1.4985941674371	-6.5176085441652e-10
-1.4921944692724	-7.4313652800436e-10
-1.4857947711076	-8.4701997277770e-10
-1.4793950729429	-9.6507995989403e-10
-1.4729953747782	-1.0992018369015e-09
-1.4665956766134	-1.2515148054463e-09
-1.4601959784487	-1.4244225194628e-09
-1.4537962802840	-1.6206373989177e-09
-1.4473965821193	-1.8432190951744e-09
-1.4409968839545	-2.0956175856229e-09
-1.4345971857898	-2.3817214384061e-09
-1.4281974876251	-2.7059118418895e-09
-1.4217977894603	-3.0731230671725e-09
-1.4153980912956	-3.4889100930330e-09
-1.4089983931309	-3.9595242119079e-09
-1.4025986949662	-4.4919975246466e-09
-1.3961989968014	-5.0942373163715e-09
-1.3897992986367	-5.7751314405768e-09
-1.3833996004720	-6.5446659350861e-09
-1.3769999023072	-7.4140562392582e-09
-1.3706002041425	-8.3958935064955e-09
-1.3642005059778	-9.5043076678990e-09
-1.3578008078131	-1.0755149129498e-08
-1.3514011096483	-1.2166191084401e-08
-1.3450014114836	-1.3757354732527e-08
-1.3386017133189	-1.5550959845332e-08
-1.3322020151541	-1.7572003414444e-08
-1.3258023169894	-1.9848469416939e-08
-1.3194026188247	-2.2411673007997e-08
-1.3130029206600	-2.5296642724994e-08
-1.3066032224952	-2.8542544780111e-08
-1.3002035243305	-3.2193153799863e-08
-1.2938038261658	-3.6297374932098e-08
-1.2874041280010	-4.0909822600706e-08
-1.2810044298363	-4.6091461709934e-08
-1.2746047316716	-5.1910317833414e-08
-1.2682050335069	-5.8442263312438e-08
-1.2618053353421	-6.5771886950611e-08
-1.2554056371774	-7.3993455922709e-08
-1.2490059390127	-8.3211978866546e-08
-1.2426062408479	-9.3544380448273e-08
-1.2362065426832	-1.0512079823512e-07
-1.2298068445185	-1.1808601424181e-07
-1.2234071463537	-1.3260103402303e-07
-1.2170074481890	-1.4884482768762e-07
-1.2106077500243	-1.6701624842219e-07
-1.2042080518596	-1.8733614606396e-07
-1.1978083536948	-2.1004969344780e-07
-1.1914086555301	-2.3542894636941e-07
-1.1850089573654	-2.6377565843190e-07
-1.1786092592006	-2.9542437518600e-07
-1.1722095610359	-3.3074583312656e-07
-1.1658098628712	-3.7015069135099e-07
-1.1594101647065	-4.1409362633783e-07
-1.1530104665417	-4.6307782344645e-07
-1.1466107683770	-5.1765989832902e-07
-1.1402110702123	-5.7845528985917e-07
-1.1338113720475	-6.4614416284639e-07
-1.1274116738828	-7.2147786809483e-07
-1.1210119757181	-8.0528600450147e-07
-1.1146122775534	-8.9848413981674e-07
-1.1082125793886	-1.0020822413683e-06
-1.1018128812239	-1.1171938788903e-06
-1.0954131830592	-1.2450462630300e-06
-1.0890134848944	-1.3869911895467e-06
-1.0826137867297	-1.5445169601553e-06
-1.0762140885650	-1.7192613624109e-06
-1.0698143904003	-1.9130257888235e-06
-1.0634146922355	-2.1277905889836e-06
-1.0570149940708	-2.3657317489862e-06
-1.0506152959061	-2.6292389989462e-06
-1.0442155977413	-2.9209354647086e-06
-1.0378158995766	-3.2436989647622e-06
-1.0314162014119	-3.6006850897719e-06
-1.0250165032472	-3.9953521775690e-06
-1.0186168050824	-4.4314883345541e-06
-1.0122171069177	-4.9132406424645e-06
-1.0058174087530	-5.4451466911171e-06
-0.99941771058824	-6.0321686052146e-06
-0.99301801242351	-6.6797297319769e-06
-0.98661831425878	-7.3937541750869e-06
-0.98021861609406	-8.1807093295506e-06
-0.97381891792933	-9.0476516221417e-06
-0.96741921976460	-1.0002275664259e-05
-0.96101952159987	-1.1052967003506e-05
-0.95461982343514	-1.2208858679080e-05
-0.94822012527041	-1.3479891813279e-05
-0.94182042710568	-1.4876880462354e-05
-0.93542072894095	-1.6411580929584e-05
-0.92902103077622	-1.8096765817050e-05
-0.92262133261150	-1.9946302968729e-05
-0.91622163444677	-2.1975239643713e-05
-0.90982193628204	-2.4199892109578e-05
-0.90342223811731	-2.6637940854297e-05
-0.89702253995258	-2.9308531713170e-05
-0.89062284178785	-3.2232383123248e-05
-0.88422314362312	-3.5431899682137e-05
-0.87782344545839	-3.8931292247718e-05
-0.87142374729367	-4.2756704842020e-05
-0.86502404912894	-4.6936348451543e-05
-0.85862435096421	-5.1500641976268e-05
-0.85222465279948	-5.6482360347294e-05
-0.84582495463475	-6.1916790207927e-05
-0.83942525647002	-6.7841892908706e-05
-0.83302555830529	-7.4298475144378e-05
-0.82662586014056	-8.1330367265430e-05
-0.82022616197584	-8.8984608956847e-05
-0.81382646381111	-9.7311642572567e-05
-0.80742676564638	-0.00010636551388652
-0.80102706748165	-0.00011620407983458
-0.79462736931692	-0.00012688922358574
-0.78822767115219	-0.00013848707578217
-0.78182797298746	-0.00015106824268523
-0.77542827482273	-0.00016470803991270
-0.76902857665801	-0.00017948673142042
-0.76262887849328	-0.00019548977302671
-0.75622918032855	-0.00021280805977485
-0.74982948216382	-0.00023153817667803
-0.74342978399909	-0.00025178265115032
-0.73703008583436	-0.00027365020605536
-0.73063038766963	-0.00029725601267621
-0.72423068950490	-0.00032272194186061
-0.71783099134018	-0.00035017681264265
-0.71143129317545	-0.00037975663526560
-0.70503159501072	-0.00041160484842203
-0.69863189684599	-0.00044587254698056
-0.69223219868126	-0.00048271869924627
-0.68583250051653	-0.00052231035091337
-0.67943280235180	-0.00056482281387546
-0.67303310418707	-0.00061043983598572
-0.66663340602234	-0.00065935374980686
-0.66023370785762	-0.00071176559680937
-0.65383400969289	-0.00076788522661275
-0.64743431152816	-0.00082793136474993
-0.64103461336343	-0.00089213164645456
-0.63463491519870	-0.00096072261364410
-0.62823521703397	-0.0010339496709894
-0.62183551886924	-0.0011120669960543
-0.61543582070451	-0.0011953374027781
-0.60903612253979	-0.0012840321520900
-0.60263642437506	-0.0013784307047953
-0.59623672621033	-0.0014788204142151
-0.58983702804560	-0.0015854961533962
-0.58343732988087	-0.0016987598761416
-0.57703763171614	-0.0018189201059635
-0.57063793355141	-0.0019462913433084
-0.56423823538668	-0.0020811933942478
-0.55783853722196	-0.0022239506202871
-0.55143883905723	-0.0023748910962767
-0.54503914089250	-0.0025343456798312
-0.53863944272777	-0.0027026469853227
-0.53223974456304	-0.0028801282646713
-0.52584004639831	-0.0030671221917993
-0.51944034823358	-0.0032639595466044
-0.51304065006885	-0.0034709677962387
-0.50664095190413	-0.0036884695738896
-0.50024125373940	-0.0039167810648203
