#Parameters = {L2=0.5; R=4; b=3; sigma_z=0.08; wakelength=100; wakelength0=10000}
#"s / cm"	"Z [Real Part]"
#------------------------
-0.68391368274925	-1.0133893372113e-18
-0.68302827906988	-1.1780439507545e-18
-0.68214287539051	-1.3679089270077e-18
-0.68125747171113	-1.5865855965129e-18
-0.68037206803176	-1.8381484033732e-18
-0.67948666435239	-2.1272007349702e-18
-0.67860126067301	-2.4589363975227e-18
-0.67771585699364	-2.8392071278012e-18
-0.67683045331427	-3.2745965649673e-18
-0.67594504963489	-3.7725010495787e-18
-0.67505964595552	-4.3412175549686e-18
-0.67417424227615	-4.9900389923078e-18
-0.67328883859677	-5.7293569012644e-18
-0.67240343491740	-6.5707713182604e-18
-0.67151803123803	-7.5272073121766e-18
-0.67063262755865	-8.6130367987091e-18
-0.66974722387928	-9.8442021949099e-18
-0.66886182019991	-1.1238338707099e-17
-0.66797641652053	-1.2814887886333e-17
-0.66709101284116	-1.4595180289580e-17
-0.66620560916178	-1.6602491086065e-17
-0.66532020548241	-1.8862028421752e-17
-0.66443480180304	-2.1400717075622e-17
-0.66354939812366	-2.4246774533196e-17
-0.66266399444429	-2.7429094388643e-17
-0.66177859076492	-3.0975390617812e-17
-0.66089318708554	-3.4908820996528e-17
-0.66000778340617	-3.9250415756285e-17
-0.65912237972680	-4.4007665412091e-17
-0.65823697604742	-4.9167570121381e-17
-0.65735157236805	-5.4693298802567e-17
-0.65646616868868	-6.0528198632026e-17
-0.65558076500930	-6.6604502368761e-17
-0.65469536132993	-7.2870287202530e-17
-0.65380995765056	-7.9309463953098e-17
-0.65292455397118	-8.5948418134939e-17
-0.65203915029181	-9.2845791292778e-17
-0.65115374661244	-1.0006924295256e-16
-0.65026834293306	-1.0768646537356e-16
-0.64938293925369	-1.1576888662781e-16
-0.64849753557431	-1.2439240251723e-16
-0.64761213189494	-1.3365078080913e-16
-0.64672672821557	-1.4365775717010e-16
-0.64584132453619	-1.5453832659640e-16
-0.64495592085682	-1.6642456769305e-16
-0.64407051717745	-1.7945561098568e-16
-0.64318511349807	-1.9377958722196e-16
-0.64229970981870	-2.0955465554671e-16
-0.64141430613933	-2.2693899606479e-16
-0.64052890245995	-2.4607983406962e-16
-0.63964349878058	-2.6711898946000e-16
-0.63875809510121	-2.9019983676790e-16
-0.63787269142183	-3.1548168451138e-16
-0.63698728774246	-3.4315047908551e-16
-0.63610188406309	-3.7342126177717e-16
-0.63521648038371	-4.0653255599424e-16
-0.63433107670434	-4.4273938619804e-16
-0.63344567302497	-4.8230869711953e-16
-0.63256026934559	-5.2552424422809e-16
-0.63167486566622	-5.7269067901003e-16
-0.63078946198685	-6.2413943960545e-16
-0.62990405830747	-6.8023237503989e-16
-0.62901865462810	-7.4136173110906e-16
-0.62813325094872	-8.0794870531624e-16
-0.62724784726935	-8.8044401162531e-16
-0.62636244358998	-9.5932631117611e-16
-0.62547703991060	-1.0451069503558e-15
