#Parameters = {wakelength0=10000; L2=0.5; R=4; b=3; sigma_z=0.12; wakelength=100}
#"s / cm"	"Z [Real Part]"
#------------------------
-1.0258705241239	-9.5888917111662e-19
-1.0244815269768	-1.0982656806700e-18
-1.0230925298297	-1.2567229753904e-18
-1.0217035326826	-1.4366978840869e-18
-1.0203145355354	-1.6409131797117e-18
-1.0189255383883	-1.8724074540410e-18
-1.0175365412412	-2.1345674690029e-18
-1.0161475440941	-2.4311630452239e-18
-1.0147585469470	-2.7663845314459e-18
-1.0133695497999	-3.1448828875389e-18
-1.0119805526528	-3.5718120980728e-18
-1.0105915555057	-4.0528731016932e-18
-1.0092025583586	-4.5943586763040e-18
-1.0078135612115	-5.2031995503252e-18
-1.0064245640643	-5.8870105215138e-18
-1.0050355669172	-6.6541313580388e-18
-1.0036465697701	-7.5136528074311e-18
-1.0022575726230	-8.4754224829824e-18
-1.0008685754759	-9.5500628527075e-18
-0.99947957832880	-1.0748959211798e-17
-0.99809058118169	-1.2084162422310e-17
-0.99670158403458	-1.3568166620272e-17
-0.99531258688747	-1.5213571337968e-17
-0.99392358974036	-1.7033628340996e-17
-0.99253459259325	-1.9041692773434e-17
-0.99114559544614	-2.1250120157115e-17
-0.98975659829903	-2.3669163959620e-17
-0.98836760115192	-2.6306925028800e-17
-0.98697860400482	-2.9170610021143e-17
-0.98558960685771	-3.2265162068244e-17
-0.98420060971060	-3.5594542248814e-17
-0.98281161256349	-3.9164491725617e-17
-0.98142261541638	-4.2985950597787e-17
-0.98003361826927	-4.7076664293111e-17
-0.97864462112216	-5.1459830797517e-17
-0.97725562397505	-5.6165057070995e-17
-0.97586662682794	-6.1228797915115e-17
-0.97447762968083	-6.6692563783969e-17
-0.97308863253372	-7.2600974474879e-17
-0.97169963538661	-7.9000912916980e-17
-0.97031063823950	-8.5944045854664e-17
-0.96892164109239	-9.3488535467464e-17
-0.96753264394528	-1.0169863315339e-16
-0.96614364679817	-1.1064537184418e-16
-0.96475464965106	-1.2040801973520e-16
-0.96336565250395	-1.3107395927010e-16
-0.96197665535684	-1.4273760052962e-16
-0.96058765820973	-1.5549948612051e-16
-0.95919866106262	-1.6946764478498e-16
-0.95780966391552	-1.8475936317363e-16
-0.95642066676841	-2.0150104710165e-16
-0.95503166962130	-2.1982911617935e-16
-0.95364267247419	-2.3989149141644e-16
-0.95225367532708	-2.6184858021053e-16
-0.95086467817997	-2.8587362803974e-16
-0.94947568103286	-3.1215210366943e-16
-0.94808668388575	-3.4088336097973e-16
-0.94669768673864	-3.7228304226649e-16
-0.94530868959153	-4.0658528518744e-16
-0.94391969244442	-4.4404418841231e-16
-0.94253069529731	-4.8493566131533e-16
-0.94114169815020	-5.2956013586140e-16
-0.93975270100309	-5.7824538719366e-16
-0.93836370385598	-6.3134851071906e-16
-0.93697470670887	-6.8925692909291e-16
-0.93558570956176	-7.5239174455764e-16
-0.93419671241465	-8.2121216287771e-16
-0.93280771526754	-8.9621909275632e-16
-0.93141871812043	-9.7795826411982e-16
-0.93002972097333	-1.0670215154791e-15
-0.92864072382622	-1.1640519296163e-15
-0.92725172667911	-1.2697473868157e-15
-0.92586272953200	-1.3848634955789e-15
-0.92447373238489	-1.5102179913790e-15
-0.92308473523778	-1.6466954424580e-15
-0.92169573809067	-1.7952564092264e-15
-0.92030674094356	-1.9569442445900e-15
-0.91891774379645	-2.1328914175247e-15
-0.91752874664934	-2.3243265176692e-15
-0.91613974950223	-2.5325821626872e-15
-0.91475075235512	-2.7591040304556e-15
-0.91336175520801	-3.0054590210167e-15
-0.91197275806090	-3.2733443735898e-15
-0.91058376091379	-3.5646001675077e-15
-0.90919476376668	-3.8812227162057e-15
-0.90780576661957	-4.2253768630945e-15
-0.90641676947246	-4.5994092084647e-15
-0.90502777232535	-5.0058624604867e-15
-0.90363877517824	-5.4474914709440e-15
-0.90224977803113	-5.9272798287745e-15
-0.90086078088403	-6.4484580848686e-15
-0.89947178373692	-7.0145248896544e-15
-0.89808278658981	-7.6292692328433e-15
-0.89669378944270	-8.2967940188012e-15
-0.89530479229559	-9.0215405261968e-15
-0.89391579514848	-9.8083153247789e-15
-0.89252679800137	-1.0662318996161e-14
-0.89113780085426	-1.1589177125895e-14
-0.88974880370715	-1.2594974834113e-14
-0.88835980656004	-1.3686293056436e-14
-0.88697080941293	-1.4870249121888e-14
-0.88558181226582	-1.6154539269098e-14
-0.88419281511871	-1.7547484231461e-14
-0.88280381797160	-1.9058079066581e-14
-0.88141482082449	-2.0696045245043e-14
-0.88002582367738	-2.2471888133703e-14
-0.87863682653027	-2.4396958501038e-14
-0.87724782938316	-2.6483519000755e-14
-0.87585883223605	-2.8744817031315e-14
-0.87446983508894	-3.1195160754978e-14
-0.87308083794184	-3.3850002913296e-14
-0.87169184079473	-3.6726030070334e-14
-0.87030284364762	-3.9841258324856e-14
-0.86891384650051	-4.3215135748053e-14
-0.86752484935340	-4.6868651845545e-14
-0.86613585220629	-5.0824457921208e-14
-0.86474685505918	-5.5106995416556e-14
-0.86335785791207	-5.9742633616404e-14
-0.86196886076496	-6.4759818427758e-14
-0.86057986361785	-7.0189233605918e-14
-0.85919086647074	-7.6063972691935e-14
-0.85780186932363	-8.2419720827808e-14
-0.85641287217652	-8.9294951863904e-14
-0.85502387502941	-9.6731140675023e-14
-0.85363487788230	-1.0477299224197e-13
-0.85224588073519	-1.1346868497084e-13
-0.85085688358808	-1.2287013247577e-13
-0.84946788644097	-1.3303326666025e-13
-0.84807888929386	-1.4401834156452e-13
-0.84668989214675	-1.5589025671856e-13
-0.84530089499964	-1.6871890519673e-13
-0.84391189785254	-1.8257954704911e-13
-0.84252290070543	-1.9755321237895e-13
-0.84113390355832	-2.1372713227506e-13
-0.83974490641121	-2.3119519701334e-13
-0.83835590926410	-2.5005845277447e-13
-0.83696691211699	-2.7042562877664e-13
-0.83557791496988	-2.9241370584149e-13
-0.83418891782277	-3.1614852681062e-13
-0.83279992067566	-3.4176544429787e-13
-0.83141092352855	-3.6941002333801e-13
-0.83002192638144	-3.9923878808524e-13
-0.82863292923433	-4.3142002555464e-13
-0.82724393208722	-4.6613464394099e-13
-0.82585493494011	-5.0357708803508e-13
-0.82446593779300	-5.4395632516637e-13
-0.82307694064589	-5.8749690053529e-13
-0.82168794349878	-6.3444006201321e-13
-0.82029894635167	-6.8504496810278e-13
-0.81890994920456	-7.3958997585238e-13
-0.81752095205745	-7.9837402274189e-13
-0.81613195491034	-8.6171810641128e-13
-0.81474295776324	-9.2996685700844e-13
-0.81335396061613	-1.0034902250014e-12
-0.81196496346902	-1.0826852835530e-12
-0.81057596632191	-1.1679781652889e-12
-0.80918696917480	-1.2598261182801e-12
-0.80779797202769	-1.3587197145046e-12
-0.80640897488058	-1.4651851977817e-12
-0.80501997773347	-1.5797870061334e-12
-0.80363098058636	-1.7031304655473e-12
-0.80224198343925	-1.8358646444771e-12
-0.80085298629214	-1.9786854166831e-12
-0.79946398914503	-2.1323387378479e-12
-0.79807499199792	-2.2976241269358e-12
-0.79668599485081	-2.4753983925678e-12
-0.79529699770370	-2.6665796028236e-12
-0.79390800055659	-2.8721513347377e-12
-0.79251900340948	-3.0931672116561e-12
-0.79113000626237	-3.3307557187335e-12
-0.78974100911526	-3.5861253443586e-12
-0.78835201196815	-3.8605700787175e-12
-0.78696301482105	-4.1554752784023e-12
-0.78557401767394	-4.4723238927105e-12
-0.78418502052683	-4.8127030985302e-12
-0.78279602337972	-5.1783113773188e-12
-0.78140702623261	-5.5709661014942e-12
-0.78001802908550	-5.9926115416570e-12
-0.77862903193839	-6.4453274242482e-12
-0.77724003479128	-6.9313380771472e-12
-0.77585103764417	-7.4530221480382e-12
-0.77446204049706	-8.0129229627011e-12
-0.77307304334995	-8.6137595122267e-12
-0.77168404620284	-9.2584381598595e-12
-0.77029504905573	-9.9500651194369e-12
-0.76890605190862	-1.0691959766226e-11
-0.76751705476151	-1.1487668722068e-11
-0.76612805761440	-1.2340980812314e-11
-0.76473906046729	-1.3255943055536e-11
-0.76335006332018	-1.4236877692926e-11
-0.76196106617307	-1.5288400183575e-11
-0.76057206902596	-1.6415438390740e-11
-0.75918307187885	-1.7623252966642e-11
-0.75779407473175	-1.8917459057961e-11
-0.75640507758464	-2.0304049355293e-11
-0.75501608043753	-2.1789418503743e-11
-0.75362708329042	-2.3380389194274e-11
-0.75223808614331	-2.5084239639624e-11
-0.75084908899620	-2.6908732974420e-11
-0.74946009184909	-2.8862148307878e-11
-0.74807109470198	-3.0953313638474e-11
-0.74668209755487	-3.3191640960638e-11
-0.74529310040776	-3.5587163319135e-11
-0.74390410326065	-3.8150574487773e-11
-0.74251510611354	-4.0893270833328e-11
-0.74112610896643	-4.3827395642444e-11
-0.73973711181932	-4.6965886369249e-11
-0.73834811467221	-5.0322524386490e-11
-0.73695911752510	-5.3911987945308e-11
