#Parameters = {cpw=150; L2=0.5; R=4; b=3; sigma_z=0.2; wakelength=100; wakelength0=10000}
#"s / cm"	"Z [Real Part]"
#------------------------
-1.7097842068731	-1.4651471052160e-22
-1.7088988031938	-1.7900271131904e-22
-1.7080133995144	-2.1844574431283e-22
-1.7071279958350	-2.6627618318850e-22
-1.7062425921556	-3.2420891633992e-22
-1.7053571884763	-3.9429440182086e-22
-1.7044717847969	-4.7898113420728e-22
-1.7035863811175	-5.8118908278825e-22
-1.7027009774381	-7.0439590216679e-22
-1.7018155737588	-8.5273797485016e-22
-1.7009301700794	-1.0311286628960e-21
-1.7000447664000	-1.2453964862389e-21
-1.6991593627207	-1.5024463330956e-21
-1.6982739590413	-1.8104472462541e-21
-1.6973885553619	-2.1790508311069e-21
-1.6965031516825	-2.6196448628756e-21
-1.6956177480032	-3.1456472978533e-21
-1.6947323443238	-3.7728465857852e-21
-1.6938469406444	-4.5197949135980e-21
-1.6929615369650	-5.4082618560911e-21
-1.6920761332857	-6.4637568970148e-21
-1.6911907296063	-7.7161301723602e-21
-1.6903053259269	-9.2002620057381e-21
-1.6894199222475	-1.0956853045318e-20
-1.6885345185682	-1.3033328110652e-20
-1.6876491148888	-1.5484868227212e-20
-1.6867637112094	-1.8375587023941e-20
-1.6858783075301	-2.1779869233842e-20
-1.6849929038507	-2.5783890673205e-20
-1.6841075001713	-3.0487341295563e-20
-1.6832220964919	-3.6005374885201e-20
-1.6823366928126	-4.2470810771294e-20
-1.6814512891332	-5.0036615381008e-20
-1.6805658854538	-5.8878693964906e-20
-1.6796804817744	-6.9199024562052e-20
-1.6787950780951	-8.1229169267652e-20
-1.6779096744157	-9.5234200147219e-20
-1.6770242707363	-1.1151707889994e-19
-1.6761388670569	-1.3042353278757e-19
-1.6752534633776	-1.5234747137225e-19
-1.6743680596982	-1.7773698850516e-19
-1.6734826560188	-2.0710099897674e-19
-1.6725972523394	-2.4101655907997e-19
-1.6717118486601	-2.8013692030389e-19
-1.6708264449807	-3.2520036811243e-19
-1.6699410413013	-3.7703989625652e-19
-1.6690556376220	-4.3659376509211e-19
-1.6681702339426	-5.0491698950529e-19
-1.6672848302632	-5.8319379988592e-19
-1.6663994265838	-6.7275111312319e-19
-1.6655140229045	-7.7507303829243e-19
-1.6646286192251	-8.9181643998324e-19
-1.6637432155457	-1.0248275498741e-18
-1.6628578118663	-1.1761596151892e-18
-1.6619724081870	-1.3480915337365e-18
-1.6610870045076	-1.5431473699310e-18
-1.6602016008282	-1.7641166204598e-18
-1.6593161971488	-2.0140749729954e-18
-1.6584307934695	-2.2964052124575e-18
-1.6575453897901	-2.6148177446793e-18
-1.6566599861107	-2.9733699377141e-18
-1.6557745824314	-3.3764832366359e-18
-1.6548891787520	-3.8289562805806e-18
-1.6540037750726	-4.3359702232861e-18
-1.6531183713932	-4.9030831337750e-18
-1.6522329677139	-5.5362071252611e-18
-1.6513475640345	-6.2415471821230e-18
-1.6504621603551	-7.0255092464429e-18
-1.6495767566757	-7.8945455048914e-18
-1.6486913529964	-8.8547981456530e-18
-1.6478059493170	-9.9115674734169e-18
-1.6469205456376	-1.1068654976994e-17
-1.6460351419582	-1.2326574245425e-17
-1.6451497382789	-1.3679411919366e-17
-1.6442643345995	-1.5117977774246e-17
-1.6433789309201	-1.6619721638895e-17
-1.6424935272408	-1.8141008121903e-17
-1.6416081235614	-1.9619511476531e-17
-1.6407227198820	-2.0975030119595e-17
